TrisCalDate,(Intercept),TTris,order,Unique_ID,TA_Run,Sample_ID,Date,T0_Tf,Treatment,Meso_Treatment,OAE_Treatment,blank_coral,Frag_ID,Colony,Chamber,PAR,Time_Measure,mV,TempInSample,Salinity,Time_In,Time_Out,Volume_mL,Notes,mVTris,pH
20240602,-139.47370879130656,1.7040353948226818,1,1,1,Cntrl_SW_T0_6_2_24,6/2/24,T0,Cntrl_SW,SW,Cntrl,NA,NA,NA,NA,NA,12:22:00,-94.3,25,36.4,NA,NA,NA,NA,-96.87282392073952,8.053045233024676
20240602,-139.47370879130656,1.7040353948226818,2,11,2,Cntrl_Alg_T0_6_2_24,6/2/24,T0,Cntrl_Alg,Alg,Cntrl,NA,NA,NA,NA,NA,12:27:00,-100.9,25.2,36.4,NA,NA,NA,NA,-96.53201684177498,8.164065980438792
20240602,-139.47370879130656,1.7040353948226818,3,15,3,Cntrl_Cor_T0_6_2_24,6/2/24,T0,Cntrl_Cor,Cor,Cntrl,NA,NA,NA,NA,NA,12:29:00,-94.6,25.1,36.4,NA,NA,NA,power shut off before this run,-96.70242038125724,8.057881062484258
20240602,-139.47370879130656,1.7040353948226818,4,56,9,CaO_SW_T0_6_2_24,6/2/24,T0,CaO_SW,SW,CaO,NA,NA,NA,NA,NA,12:31:00,-117.5,25.1,36.4,NA,NA,NA,NA,-96.70242038125724,8.444840986930195
20240602,-139.47370879130656,1.7040353948226818,5,39,7,CaO_Alg_T0_6_2_24,6/2/24,T0,CaO_Alg,Alg,CaO,NA,NA,NA,NA,NA,12:33:00,-121.8,25.3,36.4,NA,NA,NA,NA,-96.36161330229271,8.516721919515641
20240602,-139.47370879130656,1.7040353948226818,6,47,8,CaO_Cor_T0_6_2_24,6/2/24,T0,CaO_Cor,Cor,CaO,NA,NA,NA,NA,NA,12:35:00,-113.2,25.1,36.4,NA,NA,NA,NA,-96.70242038125724,8.372180389763493
20240602,-139.47370879130656,1.7040353948226818,7,12,2,Cntrl_SW_1_a_6_2_24,6/2/24,Tf,Cntrl_SW,SW,Cntrl,coral,1_a,1,1,414,02:22:00,-98.9,27.066,36.4,12:04:00,14:20:00,167,"power shut off right at the end of this sample, looks okay",-93.35228679503587,8.125355995345604
20240602,-139.47370879130656,1.7040353948226818,8,16,3,Cntrl_SW_blank_a_6_2_24,6/2/24,Tf,Cntrl_SW,SW,Cntrl,blank,blank_a,blank,7,407,02:24:00,-93.2,27.229,36.4,12:00:00,14:25:00,167,NA,-93.07452902567977,8.029283922991462
20240602,-139.47370879130656,1.7040353948226818,9,2,1,Cntrl_SW_2_e_6_2_24,6/2/24,Tf,Cntrl_SW,SW,Cntrl,coral,2_e,2,13,369,02:25:00,-103.4,27.053,36.4,12:08:00,14:24:00,171,NA,-93.37443925516855,8.200936288487648
20240602,-139.47370879130656,1.7040353948226818,10,10,2,Cntrl_Alg_1_b_6_2_24,6/2/24,Tf,Cntrl_Alg,Alg,Cntrl,coral,1_b,1,2,478,02:27:00,-98.6,26.856,36.4,12:04:00,14:26:00,163,NA,-93.71013422794861,8.12087791393247
