Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
6/3/24,12:30:09,2,default,430339797,channel_2,0,min,252.612,μmol/L,Humid,19.046,deg,53826,µV,27.382,°C,1016,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,28,0,54,375082.09,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,000000-000,5/29/24 12:39,0000-00,0,no battery,V,,µV,,µV
6/3/24,12:30:12,2,default,430339797,channel_2,0.052,min,252.988,μmol/L,Humid,19.036,deg,53799,µV,27.364,°C,1016,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,28,0,54,375087.53,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,000000-000,5/29/24 12:39,0000-00,0,no battery,V,,µV,,µV
6/3/24,12:30:15,2,default,430339797,channel_2,0.102,min,252.936,μmol/L,Humid,19.037,deg,53772,µV,27.368,°C,1016,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,28,0,54,375079.2,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,000000-000,5/29/24 12:39,0000-00,0,no battery,V,,µV,,µV
6/3/24,12:30:18,2,default,430339797,channel_2,0.152,min,253.277,μmol/L,Humid,19.024,deg,53737,µV,27.364,°C,1016,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,28,0,54,375067.51,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,000000-000,5/29/24 12:39,0000-00,0,no battery,V,,µV,,µV
6/3/24,12:30:21,2,default,430339797,channel_2,0.202,min,253.329,μmol/L,Humid,19.021,deg,53711,µV,27.367,°C,1016,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,28,0,54,375059.25,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,000000-000,5/29/24 12:39,0000-00,0,no battery,V,,µV,,µV
6/3/24,12:30:24,2,default,430339797,channel_2,0.252,min,253.507,μmol/L,Humid,19.018,deg,53690,µV,27.353,°C,1016,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,28,0,54,375056.52,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,000000-000,5/29/24 12:39,0000-00,0,no battery,V,,µV,,µV
6/3/24,12:30:27,2,default,430339797,channel_2,0.302,min,253.831,μmol/L,Humid,19.005,deg,53668,µV,27.352,°C,1016,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,28,0,54,375035.11,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,000000-000,5/29/24 12:39,0000-00,0,no battery,V,,µV,,µV
6/3/24,12:30:30,2,default,430339797,channel_2,0.352,min,253.963,μmol/L,Humid,18.996,deg,53651,µV,27.363,°C,1016,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,28,0,54,375037.03,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,000000-000,5/29/24 12:39,0000-00,0,no battery,V,,µV,,µV
6/3/24,12:30:33,2,default,430339797,channel_2,0.402,min,253.95,μmol/L,Humid,18.993,deg,53628,µV,27.374,°C,1016,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,28,0,54,375027.47,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,000000-000,5/29/24 12:39,0000-00,0,no battery,V,,µV,,µV
6/3/24,12:30:36,2,default,430339797,channel_2,0.452,min,254.063,μmol/L,Humid,18.987,deg,53612,µV,27.378,°C,1016,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,28,0,54,375014.36,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,000000-000,5/29/24 12:39,0000-00,0,no battery,V,,µV,,µV
6/3/24,12:30:39,2,default,430339797,channel_2,0.502,min,254.153,μmol/L,Humid,18.983,deg,53591,µV,27.379,°C,1016,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,28,0,54,375013.59,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,000000-000,5/29/24 12:39,0000-00,0,no battery,V,,µV,,µV
6/3/24,12:30:42,2,default,430339797,channel_2,0.552,min,254.369,μmol/L,Humid,18.981,deg,53570,µV,27.357,°C,1016,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,28,0,54,375009.77,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,000000-000,5/29/24 12:39,0000-00,0,no battery,V,,µV,,µV
