Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
6/4/24,12:25:26,6,default,553051560,channel_6,0,min,237.195,μmol/L,Humid,19.681,deg,91368,µV,27.486,°C,1015,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,26.25,0,44,373181.63,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,191107-107,5/29/24 12:47,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:29,6,default,553051560,channel_6,0.058,min,238.478,μmol/L,Humid,19.624,deg,91065,µV,27.484,°C,1015,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,26.25,0,44,373176.7,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,191107-107,5/29/24 12:47,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:32,6,default,553051560,channel_6,0.108,min,239.562,μmol/L,Humid,19.578,deg,90800,µV,27.476,°C,1015,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,26.25,0,44,373180.54,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,191107-107,5/29/24 12:47,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:35,6,default,553051560,channel_6,0.158,min,240.592,μmol/L,Humid,19.529,deg,90551,µV,27.486,°C,1015,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,26.25,0,44,373182.16,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,191107-107,5/29/24 12:47,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:38,6,default,553051560,channel_6,0.208,min,241.085,μmol/L,Humid,19.502,deg,90384,µV,27.502,°C,1015,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,26.25,0,44,373186.02,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,191107-107,5/29/24 12:47,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:41,6,default,553051560,channel_6,0.258,min,241.879,μmol/L,Humid,19.471,deg,90206,µV,27.489,°C,1015,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,26.25,0,44,373162.35,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,191107-107,5/29/24 12:47,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:44,6,default,553051560,channel_6,0.308,min,242.603,μmol/L,Humid,19.438,deg,90036,µV,27.493,°C,1015,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,26.25,0,44,373159.9,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,191107-107,5/29/24 12:47,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:47,6,default,553051560,channel_6,0.358,min,243.364,μmol/L,Humid,19.412,deg,89891,µV,27.47,°C,1015,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,26.25,0,44,373160.96,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,191107-107,5/29/24 12:47,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:50,6,default,553051560,channel_6,0.408,min,244.038,μmol/L,Humid,19.382,deg,89744,µV,27.472,°C,1015,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,26.25,0,44,373164.09,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,191107-107,5/29/24 12:47,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:53,6,default,553051560,channel_6,0.458,min,244.56,μmol/L,Humid,19.356,deg,89579,µV,27.483,°C,1015,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,26.25,0,44,373155,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,191107-107,5/29/24 12:47,0000-00,0,no battery,V,,µV,,µV
