Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
6/4/24,12:25:26,9,default,131693655,channel_9,0,min,258.764,μmol/L,Humid,18.886,deg,107660,µV,27.084,°C,1014,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,22.75,0,51,229144.48,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,210311-050,5/29/24 12:53,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:29,9,default,131693655,channel_9,0.058,min,258.131,μmol/L,Humid,18.872,deg,107589,µV,27.212,°C,1014,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,22.75,0,51,229129.36,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,210311-050,5/29/24 12:53,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:32,9,default,131693655,channel_9,0.108,min,257.827,μmol/L,Humid,18.866,deg,107553,µV,27.27,°C,1014,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,22.75,0,51,229120.03,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,210311-050,5/29/24 12:53,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:35,9,default,131693655,channel_9,0.158,min,257.932,μmol/L,Humid,18.861,deg,107510,µV,27.273,°C,1014,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,22.75,0,51,229118.65,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,210311-050,5/29/24 12:53,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:38,9,default,131693655,channel_9,0.208,min,257.996,μmol/L,Humid,18.856,deg,107477,µV,27.281,°C,1014,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,22.75,0,51,229114.85,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,210311-050,5/29/24 12:53,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:41,9,default,131693655,channel_9,0.258,min,258.018,μmol/L,Humid,18.852,deg,107439,µV,27.29,°C,1014,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,22.75,0,51,229108.44,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,210311-050,5/29/24 12:53,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:44,9,default,131693655,channel_9,0.308,min,257.985,μmol/L,Humid,18.848,deg,107416,µV,27.308,°C,1014,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,22.75,0,51,229106.86,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,210311-050,5/29/24 12:53,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:47,9,default,131693655,channel_9,0.358,min,258.077,μmol/L,Humid,18.845,deg,107393,µV,27.305,°C,1014,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,22.75,0,51,229103.84,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,210311-050,5/29/24 12:53,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:50,9,default,131693655,channel_9,0.408,min,258.188,μmol/L,Humid,18.841,deg,107370,µV,27.304,°C,1014,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,22.75,0,51,229092.68,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,210311-050,5/29/24 12:53,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:53,9,default,131693655,channel_9,0.458,min,258.221,μmol/L,Humid,18.841,deg,107347,µV,27.299,°C,1014,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,22.75,0,51,229092.74,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,210311-050,5/29/24 12:53,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:56,9,default,131693655,channel_9,0.507,min,258.51,μmol/L,Humid,18.833,deg,107332,µV,27.288,°C,1014,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,22.75,0,51,229090.32,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,210311-050,5/29/24 12:53,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:25:59,9,default,131693655,channel_9,0.557,min,258.291,μmol/L,Humid,18.835,deg,107311,µV,27.31,°C,1014,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,22.75,0,51,229083.83,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,210311-050,5/29/24 12:53,0000-00,0,no battery,V,,µV,,µV
6/4/24,12:26:02,9,default,131693655,channel_9,0.607,min,258.45,μmol/L,Humid,18.83,deg,107298,µV,27.305,°C,1014,hPa,36,pmil,0,55.5,deg,20,°C,100,%a.s.,22.5,deg,20,°C,1013,hPa,0.861,-0.02056,0.00035,-0.00011,0,14.7,Humid,22.75,0,51,229090.32,SABD0000000001,AAV1.0.0.11,4.0.0.2353,PSt7-10,210311-050,5/29/24 12:53,0000-00,0,no battery,V,,µV,,µV
